typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","579","NOR","Norway","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","58856",,"58856","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","586","PAK","Pakistan","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","71",,"71","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","591","PAN","Panama","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","674",,"674","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","598","PNG","Papua New Guinea","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","823",,"823","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","604","PER","Peru","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"true",,"false","24",,"24","4","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","608","PHL","Philippines","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","449906025",,"449906025","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","616","POL","Poland","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","446897",,"446897","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","620","PRT","Portugal","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","37045",,"37045","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","626","TLS","Timor-Leste","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","420",,"420","0","true","false",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","642","ROU","Romania","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","3020",,"3020","0","true","false",
